timestamp,site,power_kw
2026-06-01T00:00:00,Atelier Sud,73.6
2026-06-01T00:00:00,Siège Est,67.2
2026-06-01T00:00:00,Usine Nord,639.8
2026-06-01T00:15:00,Atelier Sud,43.6
2026-06-01T00:15:00,Siège Est,69.0
2026-06-01T00:15:00,Usine Nord,622.8
2026-06-01T00:30:00,Atelier Sud,75.5
2026-06-01T00:30:00,Siège Est,67.4
2026-06-01T00:30:00,Usine Nord,662.1
2026-06-01T00:45:00,Atelier Sud,75.8
2026-06-01T00:45:00,Siège Est,62.2
2026-06-01T00:45:00,Usine Nord,662.5
2026-06-01T01:00:00,Atelier Sud,54.6
2026-06-01T01:00:00,Siège Est,62.6
2026-06-01T01:00:00,Usine Nord,650.2
2026-06-01T01:15:00,Atelier Sud,55.3
2026-06-01T01:15:00,Siège Est,70.2
2026-06-01T01:15:00,Usine Nord,615.4
2026-06-01T01:30:00,Atelier Sud,69.1
2026-06-01T01:30:00,Siège Est,63.4
2026-06-01T01:30:00,Usine Nord,619.9
2026-06-01T01:45:00,Atelier Sud,72.1
2026-06-01T01:45:00,Siège Est,69.6
2026-06-01T01:45:00,Usine Nord,659.6
2026-06-01T02:00:00,Atelier Sud,73.7
2026-06-01T02:00:00,Siège Est,72.7
2026-06-01T02:00:00,Usine Nord,696.5
2026-06-01T02:15:00,Atelier Sud,66.9
2026-06-01T02:15:00,Siège Est,69.5
2026-06-01T02:15:00,Usine Nord,653.5
2026-06-01T02:30:00,Atelier Sud,67.5
2026-06-01T02:30:00,Siège Est,70.5
2026-06-01T02:30:00,Usine Nord,654.3
2026-06-01T02:45:00,Atelier Sud,72.1
2026-06-01T02:45:00,Siège Est,78.2
2026-06-01T02:45:00,Usine Nord,660.6
2026-06-01T03:00:00,Atelier Sud,79.7
2026-06-01T03:00:00,Siège Est,56.5
2026-06-01T03:00:00,Usine Nord,629.3
2026-06-01T03:15:00,Atelier Sud,100.2
2026-06-01T03:15:00,Siège Est,67.4
2026-06-01T03:15:00,Usine Nord,671.9
2026-06-01T03:30:00,Atelier Sud,68.0
2026-06-01T03:30:00,Siège Est,65.8
2026-06-01T03:30:00,Usine Nord,634.5
2026-06-01T03:45:00,Atelier Sud,79.8
2026-06-01T03:45:00,Siège Est,86.1
2026-06-01T03:45:00,Usine Nord,648.9
2026-06-01T04:00:00,Atelier Sud,65.2
2026-06-01T04:00:00,Siège Est,75.7
2026-06-01T04:00:00,Usine Nord,630.5
2026-06-01T04:15:00,Atelier Sud,63.7
2026-06-01T04:15:00,Siège Est,76.7
2026-06-01T04:15:00,Usine Nord,622.0
2026-06-01T04:30:00,Atelier Sud,96.7
2026-06-01T04:30:00,Siège Est,71.7
2026-06-01T04:30:00,Usine Nord,631.5
2026-06-01T04:45:00,Atelier Sud,66.9
2026-06-01T04:45:00,Siège Est,68.1
2026-06-01T04:45:00,Usine Nord,628.0
2026-06-01T05:00:00,Atelier Sud,94.8
2026-06-01T05:00:00,Siège Est,74.3
2026-06-01T05:00:00,Usine Nord,639.4
2026-06-01T05:15:00,Atelier Sud,81.3
2026-06-01T05:15:00,Siège Est,53.5
2026-06-01T05:15:00,Usine Nord,681.2
2026-06-01T05:30:00,Atelier Sud,87.9
2026-06-01T05:30:00,Siège Est,80.7
2026-06-01T05:30:00,Usine Nord,654.4
2026-06-01T05:45:00,Atelier Sud,54.6
2026-06-01T05:45:00,Siège Est,55.7
2026-06-01T05:45:00,Usine Nord,636.0
2026-06-01T06:00:00,Atelier Sud,49.8
2026-06-01T06:00:00,Siège Est,64.4
2026-06-01T06:00:00,Usine Nord,958.5
2026-06-01T06:15:00,Atelier Sud,120.3
2026-06-01T06:15:00,Siège Est,79.2
2026-06-01T06:15:00,Usine Nord,937.4
2026-06-01T06:30:00,Atelier Sud,112.5
2026-06-01T06:30:00,Siège Est,61.7
2026-06-01T06:30:00,Usine Nord,974.0
2026-06-01T06:45:00,Atelier Sud,134.0
2026-06-01T06:45:00,Siège Est,74.2
2026-06-01T06:45:00,Usine Nord,966.8
2026-06-01T07:00:00,Atelier Sud,162.0
2026-06-01T07:00:00,Siège Est,74.2
2026-06-01T07:00:00,Usine Nord,942.1
2026-06-01T07:15:00,Atelier Sud,179.6
2026-06-01T07:15:00,Siège Est,60.8
2026-06-01T07:15:00,Usine Nord,948.7
2026-06-01T07:30:00,Atelier Sud,174.2
2026-06-01T07:30:00,Siège Est,79.7
2026-06-01T07:30:00,Usine Nord,951.4
2026-06-01T07:45:00,Atelier Sud,229.6
2026-06-01T07:45:00,Siège Est,53.7
2026-06-01T07:45:00,Usine Nord,927.9
2026-06-01T08:00:00,Atelier Sud,227.5
2026-06-01T08:00:00,Siège Est,239.9
2026-06-01T08:00:00,Usine Nord,925.0
2026-06-01T08:15:00,Atelier Sud,252.8
2026-06-01T08:15:00,Siège Est,231.9
2026-06-01T08:15:00,Usine Nord,946.9
2026-06-01T08:30:00,Atelier Sud,273.8
2026-06-01T08:30:00,Siège Est,236.7
2026-06-01T08:30:00,Usine Nord,930.4
2026-06-01T08:45:00,Atelier Sud,253.3
2026-06-01T08:45:00,Siège Est,241.4
2026-06-01T08:45:00,Usine Nord,949.3
2026-06-01T09:00:00,Atelier Sud,270.5
2026-06-01T09:00:00,Siège Est,235.0
2026-06-01T09:00:00,Usine Nord,968.1
2026-06-01T09:15:00,Atelier Sud,273.1
2026-06-01T09:15:00,Siège Est,259.9
2026-06-01T09:15:00,Usine Nord,945.1
2026-06-01T09:30:00,Atelier Sud,262.3
2026-06-01T09:30:00,Siège Est,250.6
2026-06-01T09:30:00,Usine Nord,962.4
2026-06-01T09:45:00,Atelier Sud,283.8
2026-06-01T09:45:00,Siège Est,256.5
2026-06-01T09:45:00,Usine Nord,987.7
2026-06-01T10:00:00,Atelier Sud,326.0
2026-06-01T10:00:00,Siège Est,247.8
2026-06-01T10:00:00,Usine Nord,940.6
2026-06-01T10:15:00,Atelier Sud,313.0
2026-06-01T10:15:00,Siège Est,239.2
2026-06-01T10:15:00,Usine Nord,980.8
2026-06-01T10:30:00,Atelier Sud,302.3
2026-06-01T10:30:00,Siège Est,237.6
2026-06-01T10:30:00,Usine Nord,932.1
2026-06-01T10:45:00,Atelier Sud,287.1
2026-06-01T10:45:00,Siège Est,247.0
2026-06-01T10:45:00,Usine Nord,925.3
2026-06-01T11:00:00,Atelier Sud,330.7
2026-06-01T11:00:00,Siège Est,226.2
2026-06-01T11:00:00,Usine Nord,953.8
2026-06-01T11:15:00,Atelier Sud,348.3
2026-06-01T11:15:00,Siège Est,229.7
2026-06-01T11:15:00,Usine Nord,946.5
2026-06-01T11:30:00,Atelier Sud,360.7
2026-06-01T11:30:00,Siège Est,227.1
2026-06-01T11:30:00,Usine Nord,918.4
2026-06-01T11:45:00,Atelier Sud,356.1
2026-06-01T11:45:00,Siège Est,245.9
2026-06-01T11:45:00,Usine Nord,977.7
2026-06-01T12:00:00,Atelier Sud,338.1
2026-06-01T12:00:00,Siège Est,231.0
2026-06-01T12:00:00,Usine Nord,968.4
2026-06-01T12:15:00,Atelier Sud,326.3
2026-06-01T12:15:00,Siège Est,242.4
2026-06-01T12:15:00,Usine Nord,929.1
2026-06-01T12:30:00,Atelier Sud,293.5
2026-06-01T12:30:00,Siège Est,238.7
2026-06-01T12:30:00,Usine Nord,945.7
2026-06-01T12:45:00,Atelier Sud,358.3
2026-06-01T12:45:00,Siège Est,233.9
2026-06-01T12:45:00,Usine Nord,948.3
2026-06-01T13:00:00,Atelier Sud,349.6
2026-06-01T13:00:00,Siège Est,237.6
2026-06-01T13:00:00,Usine Nord,923.3
2026-06-01T13:15:00,Atelier Sud,307.1
